                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5651,                 4.9553,                 2.1086,                 0.4303,                 0.2381,                0.23808,                0.15747,                  1.372,                 4.9968,                 2.2544,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.4828,                 4.9436,                 2.1013,                0.22007,                0.52381,                0.27003,                0.14445,                 1.2171,                 5.2153,                 2.2456,             0.00014409,             0.00014409,             0.00014409
                      3,                 1.0269,                 2.6819,                 1.6273,                 0.2594,                0.22619,                0.21907,                0.12601,                 1.5357,                 5.0906,                 2.2517,              0.0002149,              0.0002149,              0.0002149
                      4,                 1.1224,                 2.3457,                 1.6676,                0.27484,                0.66667,                0.46403,                0.22601,                 1.6254,                 10.049,                 2.9253,              0.0002791,              0.0002791,              0.0002791
                      5,                0.99243,                 1.8573,                  1.507,                0.21443,                0.22619,                 0.1564,                0.09524,                 1.4819,                 3.8556,                 2.6881,             0.00033671,             0.00033671,             0.00033671
                      6,                0.94036,                 1.6967,                 1.4897,                0.36856,                0.68125,                0.54843,                0.31877,                 1.3973,                 4.4096,                 2.6164,             0.00038771,             0.00038771,             0.00038771
                      7,                 1.0298,                 1.5216,                   1.59,                0.30625,                0.52866,                0.34567,                0.18302,                 1.4128,                 2.7784,                 2.5969,             0.00043211,             0.00043211,             0.00043211
                      8,                 1.0096,                 1.5119,                  1.575,                0.50122,                0.46429,                0.48477,                0.19395,                 1.4767,                 2.7159,                 2.6682,             0.00046991,             0.00046991,             0.00046991
                      9,                0.98847,                 1.5215,                 1.5912,                0.47778,                0.59859,                0.63011,                0.26018,                 1.4769,                 3.5145,                 2.7406,             0.00050111,             0.00050111,             0.00050111
                     10,                 1.0757,                 1.5017,                 1.6021,                0.39163,                0.47776,                0.51815,                0.31655,                 1.5964,                 4.2653,                 3.6066,             0.00052571,             0.00052571,             0.00052571
                     11,                 1.0022,                 1.2772,                 1.5451,                0.26938,                0.61905,                 0.5048,                0.20703,                 1.7609,                 15.695,                 4.3029,             0.00054371,             0.00054371,             0.00054371
                     12,                 1.0132,                  1.323,                 1.5629,                0.26575,                0.48787,                0.15329,                0.08285,                 1.4444,                 11.467,                 2.8815,              0.0005551,              0.0005551,              0.0005551
                     13,                 1.0292,                 1.4031,                 1.6148,                 0.4014,                0.70238,                0.31918,                0.14244,                  1.608,                  10.04,                 3.1356,              0.0005599,              0.0005599,              0.0005599
                     14,                  1.061,                 1.3559,                 1.5856,                0.40805,                0.63095,                0.48879,                0.20043,                 1.7044,                 6.1104,                 3.2479,             0.00055809,             0.00055809,             0.00055809
                     15,                0.98424,                 1.1867,                 1.5385,                0.60812,                 0.7832,                0.67834,                0.29203,                 1.6192,                 3.4704,                 3.0434,             0.00054968,             0.00054968,             0.00054968
                     16,                0.93068,                 1.2473,                 1.5982,                0.43837,                0.45238,                0.53058,                0.20161,                 2.1776,                 3.2064,                 4.1894,             0.00053467,             0.00053467,             0.00053467
                     17,                 1.0346,                 1.2464,                  1.851,                0.33342,                0.83333,                0.47872,                0.18539,                 2.2153,                 3.8926,                   4.63,             0.00051306,             0.00051306,             0.00051306
                     18,                0.94637,                 1.1221,                 1.6813,                0.46057,                0.69048,                0.56636,                0.32308,                 1.4171,                 2.0497,                 2.8891,             0.00048485,             0.00048485,             0.00048485
                     19,                0.95305,                 1.0876,                 1.6725,                0.74346,                0.47619,                0.57505,                0.32209,                 1.3368,                  1.952,                 2.8215,             0.00045004,             0.00045004,             0.00045004
                     20,                0.87448,                0.98782,                 1.6056,                0.61686,                0.67483,                0.71701,                0.45672,                 1.3934,                 1.7666,                 3.0609,             0.00040862,             0.00040862,             0.00040862
                     21,                0.76563,                0.97822,                 1.4717,                0.80258,                0.74903,                0.86033,                0.55133,                  1.446,                 1.7519,                 3.0748,             0.00034674,             0.00034674,             0.00034674
                     22,                0.88257,                0.97101,                 1.6443,                0.75535,                0.91036,                0.87767,                0.52121,                  1.378,                 1.6973,                 2.7603,             0.00034674,             0.00034674,             0.00034674
                     23,                 0.7364,                0.87914,                 1.5173,                0.77205,                0.83333,                0.86639,                0.54056,                 1.2021,                 1.5723,                 2.4546,             0.00028072,             0.00028072,             0.00028072
                     24,                0.67123,                0.85313,                 1.4044,                0.65062,                0.90188,                0.87343,                0.55689,                 1.2368,                 1.1452,                 2.4092,             0.00021471,             0.00021471,             0.00021471
                     25,                0.71757,                0.81607,                 1.4424,                0.72778,                0.91667,                0.87887,                0.56734,                 1.2099,                  1.057,                 2.3806,              0.0001487,              0.0001487,              0.0001487
